episode,reward,epsilon
920,0.0,0.09999999999999998
921,9.0,0.09999999999999998
922,-2.0,0.09999999999999998
923,6.0,0.09999999999999998
924,2.0,0.09999999999999998
925,7.0,0.09999999999999998
926,8.0,0.09999999999999998
927,16.0,0.09999999999999998
928,0.0,0.09999999999999998
929,1.0,0.09999999999999998
930,12.0,0.09999999999999998
931,15.0,0.09999999999999998
932,15.0,0.09999999999999998
933,20.0,0.09999999999999998
934,12.0,0.09999999999999998
935,8.0,0.09999999999999998
936,2.0,0.09999999999999998
937,-7.0,0.09999999999999998
938,5.0,0.09999999999999998
939,5.0,0.09999999999999998
940,13.0,0.09999999999999998
941,1.0,0.09999999999999998
942,7.0,0.09999999999999998
943,25.0,0.09999999999999998
944,14.0,0.09999999999999998
945,8.0,0.09999999999999998
946,-5.0,0.09999999999999998
947,16.0,0.09999999999999998
948,11.0,0.09999999999999998
949,2.0,0.09999999999999998
950,-1.0,0.09999999999999998
951,9.0,0.09999999999999998
952,12.0,0.09999999999999998
953,2.0,0.09999999999999998
954,-1.0,0.09999999999999998
955,15.0,0.09999999999999998
956,15.0,0.09999999999999998
957,6.0,0.09999999999999998
958,16.0,0.09999999999999998
959,0.0,0.09999999999999998
960,20.0,0.09999999999999998
961,0.0,0.09999999999999998
962,6.0,0.09999999999999998
963,0.0,0.09999999999999998
964,8.0,0.09999999999999998
965,1.0,0.09999999999999998
966,16.0,0.09999999999999998
967,11.0,0.09999999999999998
968,8.0,0.09999999999999998
969,5.0,0.09999999999999998
970,7.0,0.09999999999999998
971,3.0,0.09999999999999998
972,19.0,0.09999999999999998
973,7.0,0.09999999999999998
974,-2.0,0.09999999999999998
975,13.0,0.09999999999999998
976,10.0,0.09999999999999998
977,4.0,0.09999999999999998
978,14.0,0.09999999999999998
979,16.0,0.09999999999999998
980,8.0,0.09999999999999998
